sigla_tribunal,id_orgao_julgador,servidores
TJAL,11724,6.00
TJAL,11742,9.00
TJAL,13243,8.00
TJAL,13274,0.00
TJAL,17055,4.00
TJAL,17056,5.00
TJAL,19866,0.00
TJAL,43571,3.00
TJAL,43572,7.00
TJAL,43573,5.00
TJAL,43574,5.00
TJAL,43575,6.00
TJAL,43576,3.00
TJAL,43577,0.00
TJAL,43578,2.00
TJAL,43579,0.00
TJAL,43580,0.00
TJAL,43581,2.00
TJAL,43582,1.00
TJAL,43583,1.00
TJAL,43584,0.00
TJAL,43585,1.00
TJAL,43586,0.00
TJAL,43587,1.00
TJAL,43588,2.00
TJAL,43589,1.00
TJAL,43590,4.00
TJAL,43591,1.00
TJAL,43592,7.00
TJAL,43593,0.00
TJAL,43594,2.00
TJAL,43595,2.00
TJAL,43596,1.00
TJAL,43597,0.00
TJAL,43598,3.00
TJAL,43599,14.00
TJAL,43600,9.00
TJAL,43601,24.00
TJAL,43602,66.00
TJAL,43603,2.00
TJAL,43604,0.00
TJAL,43605,4.00
TJAL,43606,2.00
TJAL,43607,2.00
TJAL,43608,2.00
TJAL,43609,0.00
TJAL,43610,24.00
TJAL,43611,9.00
TJAL,43612,0.00
TJAL,43613,0.00
TJAL,43614,2.00
TJAL,43615,2.00
TJAL,43616,2.00
TJAL,43617,2.00
TJAL,43618,2.00
TJAL,43619,2.00
TJAL,43620,2.00
TJAL,43621,2.00
TJAL,43622,2.00
TJAL,71222,0.00
TJAL,71223,0.00
TJAL,72313,0.00
TJAL,77950,0.00
TJAL,77951,0.00
TJAL,77952,0.00
TJAL,77955,0.00
TJAL,77956,0.00
TJAL,77957,0.00
TJAL,77958,0.00
TJAL,78762,4.00
TJAL,80061,0.00
TJAL,80062,0.00
TJAL,80063,0.00
TJAL,80064,0.00
TJAL,80065,0.00
TJAL,80066,4.00
TJAL,80359,0.00
TJAL,80360,0.00
TJAL,81180,0.00
TJAL,81181,2.00
TJAL,81281,0.00
TJAL,82249,0.00
TJAL,83489,0.00
TJAM,3832,10.00
TJAM,4060,3.00
TJAM,4432,4.00
TJAM,4433,0.00
TJAM,4438,19.00
TJAM,4780,3.00
TJAM,4781,4.00
TJAM,4782,1.00
TJAM,4783,1.00
TJAM,4784,4.00
TJAM,4785,1.00
TJAM,4786,1.00
TJAM,4787,1.00
TJAM,4788,3.00
TJAM,4789,4.00
TJAM,4790,1.00
TJAM,4791,3.00
TJAM,4792,4.00
TJAM,4793,4.00
TJAM,4794,1.00
TJAM,4795,4.00
TJAM,4796,4.00
TJAM,4797,2.00
TJAM,4798,2.00
TJAM,4799,4.00
TJAM,4800,4.00
TJAM,4801,7.00
TJAM,4802,6.00
TJAM,4803,3.00
TJAM,4804,7.00
TJAM,4805,6.00
TJAM,4806,6.00
TJAM,4807,7.00
TJAM,4809,5.00
TJAM,4810,5.00
TJAM,4812,4.00
TJAM,4814,7.00
TJAM,4819,0.00
TJAM,4820,0.00
TJAM,4822,4.00
TJAM,4824,4.00
TJAM,4826,6.00
TJAM,4827,0.00
TJAM,4829,3.00
TJAM,4831,4.00
TJAM,4835,20.00
TJAM,4836,9.00
TJAM,4839,6.00
TJAM,4840,0.00
TJAM,4841,0.00
TJAM,4842,8.00
TJAM,4844,0.00
TJAM,4845,6.00
TJAM,4846,4.00
TJAM,4847,7.00
TJAM,4848,9.00
TJAM,4849,6.00
TJAM,4850,5.00
TJAM,4851,0.00
TJAM,4852,5.00
TJAM,4853,7.00
TJAM,4854,6.00
TJAM,4855,3.00
TJAM,4856,5.00
TJAM,4857,0.00
TJAM,4858,0.00
TJAM,4899,5.00
TJAM,4901,7.00
TJAM,4902,7.00
TJAM,4903,8.00
TJAM,4905,5.00
TJAM,4906,5.00
TJAM,4907,4.00
TJAM,4908,10.00
TJAM,4910,4.00
TJAM,4912,7.00
TJAM,4913,4.00
TJAM,4914,7.00
TJAM,4915,5.00
TJAM,4917,7.00
TJAM,4918,10.00
TJAM,4920,6.00
TJAM,4921,2.00
TJAM,4922,7.00
TJAM,4923,7.00
TJAM,4924,0.00
TJAM,5047,4.00
TJAM,5048,4.00
TJAM,5049,6.00
TJAM,5050,4.00
TJAM,5051,2.00
TJAM,5052,3.00
TJAM,5053,4.00
TJAM,5054,3.00
TJAM,5055,2.00
TJAM,5056,5.00
TJAM,5057,5.00
TJAM,5058,2.00
TJAM,5059,4.00
TJAM,5060,2.00
TJAM,5061,6.00
TJAM,5062,4.00
TJAM,5063,6.00
TJAM,5064,5.00
TJAM,5065,4.00
TJAM,5066,5.00
TJAM,5067,4.00
TJAM,5068,3.00
TJAM,5069,6.00
TJAM,5070,3.00
TJAM,5071,3.00
TJAM,5072,4.00
TJAM,5073,1.00
TJAM,5074,4.00
TJAM,5075,4.00
TJAM,5076,7.00
TJAM,5077,6.00
TJAM,5078,4.00
TJAM,5079,2.00
TJAM,5080,3.00
TJAM,5081,3.00
TJAM,5082,2.00
TJAM,5083,3.00
